"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
69,48,6536,3801,5856,2345,1678,16810,2923,1476
77,41,532,5021,1953,1453,2600,5276,3498,3824
80,38,1179,4637,1691,3074,5654,8428,1439,4401
90,48,1812,6389,5720,1492,4952,8813,1545,2745
80,50,1061,3069,1380,4201,3280,4030,2150,2282
67,56,22054,14461,4156,6167,3562,4013,1819,2949
47,57,79287,58663,14468,6240,5848,5064,4671,3554
44,51,412898,35890,11151,4824,22020,28428,28535,13146
34,38,14113,50227,7122,2365,3322,6334,3069,5136
37,40,51004,5288,2086,3098,1073,2593,2399,836
40,44,279972,49480,26541,16611,34822,10080,8771,12092
17,44,674102,25803,1699,4331,2069,1041,1120,799
10,60,1266960,73716,9835,42815,14066,6065,11925,12258
1,53,386343,49185,13553,5927,2804,1744,2503,1215
1,53,788226,31186,8335,11347,7903,3133,6162,2222
1,54,764698,46166,13401,6248,30560,8050,3974,1858
1,44,275263,13233,3951,640,4757,785,3289,765
3,61,1189534,24948,18410,32104,7384,3934,7167,5646
13,63,1415095,73541,38625,35024,18305,31678,56568,18591
4,63,711722,354381,64772,26861,29493,17107,17548,6993
13,77,52860,7227,4588,5623,3936,2151,6684,2159
13,63,175920,106830,46015,4828,5673,7559,8552,7690
14,67,216696,143774,158264,107716,67056,117639,33370,16385
24,83,484718,2687,1094,4646,3129,1189,987,931
21,88,1706633,162945,168745,110634,44392,31804,16720,13314
40,88,3348,3032,1194,2057,1103,3222,3888,2322
47,78,11332,4222,383,3802,2291,5947,2166,3394
48,67,844548,70301,12452,23138,10651,18272,9337,9113
54,50,103554,61039,18209,975,5057,12040,4705,5905
35,34,1419944,747986,34832,47822,76671,34133,15256,28963
10,35,71277,11263,1924,3273,974,595,1884,1242
1,29,54908,17874,4032,1549,7163,1365,2418,4337
7,27,37049,10119,3040,1534,4794,4324,6440,3622
11,54,16094,26276,22993,9461,2369,4893,2563,3629
24,48,28706,15815,4081,2224,6966,3787,2373,3577
29,34,118767,8260,262,310,2732,779,517,407
16,16,57774,62653,1807,1921,4093,4988,1730,1576
20,1,955283,179254,17798,19892,34510,24903,9581,11692
21,16,1037,1868,8230,1744,3854,2306,3506,2059
37,37,1290,4412,1913,662,1693,3724,1856,1916
53,61,1455,3307,3345,944,1971,3981,3408,4141
57,56,150241,26325,992,3328,7933,5992,2512,3149
63,30,21639,7952,715,1738,4578,4517,2188,1443
61,40,1073,4680,2484,2994,2056,4195,2742,2188
56,34,36949,13975,4988,1942,6340,6481,1621,2129
61,54,4210,2418,3212,2602,2085,3061,3819,2183
67,54,1194,2446,338,825,3567,3196,1500,1249
63,48,10277,9850,1385,3528,2918,4567,2991,1449
61,54,72388,9482,6870,3033,5363,4074,4272,917
64,44,4347,2614,3012,2443,11236,4477,2470,1340
69,57,2960,1052,5452,2197,2286,13017,3202,4875
75,57,131482,4608,1171,1908,2726,4139,1802,5382
80,61,1786,2845,5234,1511,3124,3970,3325,3381
80,70,1446,2665,5777,597,1031,4591,2710,3606
75,57,3181,3664,1173,517,4123,4786,3064,3748
66,56,226174,79518,18907,13155,26470,21900,10019,14334
66,56,549509,4038,627,4171,2446,1542,501,325
54,47,114937,31991,6785,4113,3298,4032,2660,2848
57,38,2518,2553,810,2061,1294,3846,2294,4785
56,44,1620,3461,1591,1223,2872,4361,8663,2166
66,41,963,6279,819,2392,4631,6335,1718,3935
80,51,3221,517,1323,4928,4448,3518,2752,1812
78,47,1062,4800,1741,1087,4717,4582,2386,3431
60,60,36838,38061,13427,25500,4876,7155,5918,1539
51,70,1952,6567,6121,1160,4296,3126,1292,5418
56,56,7231,5417,1391,1894,4347,6836,2797,3002
41,75,104464,25947,23914,11129,2560,6292,6254,3263
57,69,1451,2962,3779,2542,1824,6606,3254,2125
57,74,28322,5202,2549,6266,4671,3423,4318,4542
53,87,14465,4284,2445,5902,6660,5189,3448,2254
78,63,2902,1505,741,1218,4882,7100,2388,3273
63,56,46205,28137,9131,1943,6387,4122,4353,7290
50,47,570362,55900,3443,18189,2784,3411,3599,1599
35,30,513400,108756,4111,15562,3643,11211,12470,14228
27,47,811,3821,3294,4489,1999,9310,2893,5300
41,44,5206,6912,1058,3304,6266,6528,2162,7329
64,48,3636,2954,2153,3632,4445,6447,1707,4142
87,56,503,1823,2088,2037,4442,7142,2922,6119
78,66,2640,971,4377,1391,1467,2182,1597,4323
80,70,846,4317,1125,2956,1932,5395,4403,2395
78,70,13209,4007,1320,3375,2699,4985,1752,2285
70,81,3520,1231,6073,1409,1392,5900,5648,1982
80,70,112,2420,1529,3244,2798,5866,4514,2582
80,64,666,8776,2590,1625,7733,7770,7856,2953
57,48,132420,60998,1626,5559,5832,3175,2318,2773
51,43,1305,5304,4504,2005,4163,3184,2806,1516
34,29,184666,38610,5779,948,4097,4046,2592,2505
37,34,9540,2352,2097,1417,5055,5108,3089,1339
61,47,5115,2393,1238,2879,5893,5298,2939,4087
69,44,1778,3111,3649,4828,10379,8663,5802,4049
84,53,66,1180,2149,1222,7178,2673,3244,2411
78,64,1031,3185,6221,6070,6909,5811,4137,2550
56,63,66983,42484,2779,11097,6743,3400,2058,2022
50,53,7606,7878,1028,1391,3438,3655,4261,4092
53,50,1631,2292,1690,1157,3524,4725,2367,1901
63,38,1060,1788,1884,1185,2768,5752,2476,2160
74,53,2669,5790,8417,2213,1606,3437,2241,2266
80,61,2803,1093,922,961,2549,2296,3174,2433
75,69,499,2476,1746,3485,2403,4259,1488,2100
54,63,126946,12731,394,1868,832,1628,1639,671
64,50,11027,3696,1165,2522,2568,5166,3654,3652
48,54,138772,28738,15463,3819,4472,4204,3003,1827
43,38,879,6752,564,1013,2134,2559,6065,1351
66,26,1571,1971,568,387,11036,5607,2312,4402
74,13,650,1891,530,754,4851,4769,1791,2470
80,17,2636,5520,4553,2104,2113,2513,2674,996
74,24,52560,27785,7420,784,3232,4792,1635,4995
61,56,8600,3602,6226,4311,2349,6355,1185,4081
44,66,1051,12053,1720,2866,1308,3546,3969,3469
47,66,1372,4780,5757,2593,3985,3578,2416,972
56,77,1825,3719,2200,4100,3087,4187,2639,1272
43,84,91704,8507,42880,1377,5468,3869,3445,2090
53,84,2746,5748,1046,3317,3970,6808,1876,1130
54,75,83598,21552,9613,3453,5110,12825,2730,1387
57,67,13274,6481,3754,3537,2240,10216,1294,2678
75,53,4087,1567,3922,1562,4433,3650,2550,3281
70,64,1253,2460,1642,5810,3209,4328,1709,3398
66,56,19968,25912,1344,4721,5186,6852,3530,3132
63,63,2627,1326,5382,2637,7322,4277,3023,4833
61,67,896,1908,5133,4508,4488,4194,2731,1195
61,50,301,5495,363,3169,14766,4541,2596,1588
50,56,126323,16195,4259,2546,5362,1394,2264,1323
48,50,7678,9504,1804,3572,1223,5651,3033,7449
51,41,423593,10424,10351,8116,16532,16074,9620,7059
50,60,2509,3125,2261,4040,1814,3801,1535,1728
