"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
56,64,401839,40526,41215,9415,8851,15809,9779,13413
41,48,157074,146397,6291,4328,8769,8238,10668,5049
35,57,847445,61419,13125,24467,18584,21114,20819,26562
60,27,61271,6668,701,580,1459,1804,1617,2245
63,41,876438,89407,14311,13956,3643,9723,6325,7178
51,54,355563,47720,82044,19064,3755,10444,23815,8070
29,54,894738,292896,8845,30789,17658,28291,30323,32019
24,64,80258,37605,15255,2270,2127,7384,4111,1529
26,66,63630,11143,1569,3667,2145,1678,1645,677
20,41,229839,122696,8673,6666,4336,4654,8125,5272
44,44,6782,4036,1605,938,3607,6602,2260,2250
41,47,65197,18216,3980,7162,4440,3240,3952,2229
57,41,11657,6656,2107,783,1642,4620,1890,3707
57,53,44151,22371,2918,5316,3149,1074,1849,3692
47,60,1668823,92206,37753,18235,12594,47022,47928,28782
51,60,50573,18157,2597,5768,1453,4505,3753,1454
37,53,175905,195760,10709,14003,14387,13259,6284,12455
40,63,266207,18382,36730,18823,11810,29266,26680,37962
41,54,64811,37751,8436,3485,12870,11185,5239,9353
53,54,264820,34630,15723,1701,5975,12311,4589,5559
67,67,26421,18924,7683,6553,2038,9206,7339,3770
57,53,99432,52175,1065,12745,5308,9829,8418,8559
40,37,66387,78580,1162,1760,2320,2583,3847,2406
34,38,72077,44881,9232,17561,11621,8586,4332,6087
30,43,871045,23962,6000,25416,9946,12634,4698,3490
35,44,1566666,69843,5895,18640,16020,15823,11853,15932
61,74,1286,2268,2457,1486,850,3289,6133,1473
77,74,9651,3349,2810,3692,6491,4719,5461,1884
69,67,34769,38108,21772,6022,11905,8487,3995,6249
66,80,309227,76351,60771,9921,7299,17463,12625,23027
38,53,972739,169350,742,7317,14736,5743,10313,8064
7,47,59600,68508,12646,1386,2087,1767,1134,1519
7,29,560533,142454,5683,8980,8900,20019,26460,7552
24,24,4062,2008,2309,1817,4806,4021,7458,1375
47,35,31480,31750,4148,1555,8975,12326,10330,6350
69,43,1974583,23225,15356,4233,7255,7860,8190,4229
56,48,223669,127176,9361,11871,7561,5548,6774,1831
41,51,34807,7871,3986,4517,4260,2746,4342,2634
51,57,76215,7884,3599,1720,5740,11019,4884,2186
61,60,656,2100,3193,3271,4009,4278,2959,6448
66,67,1036959,38539,14062,3003,3504,3285,2256,719
56,54,541960,79671,5652,7160,7510,5706,4029,6091
44,54,20894,24558,2427,6222,6464,8661,12549,10365
34,57,63927,5819,5943,4321,4465,2650,2855,1156
48,63,39246,6536,9109,1795,5640,4886,10896,2761
67,75,50803,6006,3971,2079,1705,4753,3644,1683
51,63,1578188,512223,26718,13894,25927,29552,49160,27829
37,48,160850,154581,20003,11266,19356,6969,14196,12310
27,43,863096,47807,18187,8958,13218,8242,15536,2873
