"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
34,20,1248705,740408,78611,7343,36003,23076,17239,19615
29,26,129666,63102,4231,6401,2885,3312,2122,2720
20,30,287726,42921,13008,2734,3908,2116,5449,2642
10,44,59230,24695,3195,8814,1179,2218,1490,1919
13,51,171503,118507,14975,14853,7310,6223,7894,5537
16,51,2507254,694215,45889,63606,31670,46947,16321,55242
34,66,537554,18412,33469,29627,3478,17857,7367,9578
37,69,932654,49758,15171,28449,10052,7242,13243,6836
56,66,122690,33922,5387,6175,16124,15718,6886,4725
70,78,42351,24991,5867,10777,3996,11801,3958,3858
60,43,314927,66790,756,2931,2930,5056,2518,994
43,51,587394,70693,24029,3220,3928,3694,2521,3402
30,54,375129,15466,9526,3333,3690,2020,1959,2737
27,64,1106251,663809,95600,8274,35374,36946,42407,44656
26,56,276939,62211,18703,5623,3427,9056,3114,1793
37,56,409426,41742,8348,8129,6899,6600,4666,5040
40,47,201851,32300,6171,2714,2188,4359,3810,2469
30,44,2327010,653911,10757,58473,13947,16491,16699,7629
41,60,46983,1500,6322,4849,1816,3384,4024,2130
50,60,9274,8888,3021,1389,1612,3522,500,2322
63,69,3605,2568,3669,1931,2100,3548,1897,2529
78,70,1696851,304963,35257,45210,267278,41332,41532,39008
56,47,169565,77119,6013,3582,7966,2223,1935,1645
51,48,571531,26842,12224,4649,7738,6658,5107,6515
38,56,86798,18533,26123,12296,4325,6004,2635,4530
35,60,153253,31347,6162,636,4092,3377,3027,3204
63,69,2527,2300,1694,1925,5532,2717,2705,1363
67,64,1702,5277,69,2480,2604,2060,661,1777
80,54,4009,5416,1261,2746,1097,3389,1427,2006
96,63,28778,7720,2945,5743,3192,9194,1292,1138
77,63,163808,25728,8967,2840,4558,2439,8204,3007
63,64,238822,24258,4797,2460,2256,1954,2575,1316
67,63,1380290,19952,17298,9959,25669,30230,10916,7667
100,50,3537,3844,310,2954,9813,7430,5397,1035
100,37,5957,10156,229,1247,3031,8484,2499,2086
100,48,4347,4537,2817,8619,1955,4086,2428,2966
81,37,1214691,1311907,82803,49523,97133,33466,117897,17452
51,48,286238,41030,17223,4377,2455,3094,2459,1466
27,51,149789,49486,4439,1561,1726,3404,5738,2835
50,54,632997,50032,52985,3773,14380,24920,16147,4215
57,53,459599,53112,25670,4337,13013,9541,8009,4198
69,70,981700,39134,21661,28828,9400,18178,10613,10147
57,90,74462,11029,12504,9569,318,2643,2011,1054
51,90,193366,12755,3802,6824,2207,2914,4144,1502
43,74,1168267,210104,7709,9352,10457,9876,15257,3138
40,66,44788,18533,5841,2343,501,4152,2356,769
50,48,79412,22631,4110,2882,3462,6169,5355,1341
44,35,35847,15098,635,2208,958,1364,2044,269
50,53,1690075,216332,10275,123018,26205,23428,13134,6500
41,47,125040,24720,3503,1334,3644,2129,1210,1998
37,40,181632,40320,2204,3999,8244,5330,3360,930
37,51,2735306,335305,113134,88558,28787,48392,21383,21625
44,54,1148640,78458,33364,40573,4163,24269,22032,3385
37,48,1360495,1504998,39478,86864,46539,49542,52054,39542
35,51,86916,62395,10947,1645,1419,7736,16288,5585
27,30,88573,61155,3211,770,2736,2327,6424,1975
40,16,3480,14283,1482,3338,7184,10230,2325,2359
43,26,213756,197159,29805,30492,31629,11911,12966,7444
38,26,199681,43606,2908,5181,1556,3545,6009,2523
40,47,587733,475862,170493,78309,61621,29617,36967,27977
17,57,540983,23640,11054,2546,4776,1977,2148,1989
13,63,333085,38437,13696,3508,4862,1615,5529,2403
14,67,683234,65429,21857,5026,16314,6907,11519,7009
27,69,48445,8664,4039,2132,942,2784,1616,1492
30,66,96357,57810,17653,5977,7702,5604,2638,7724
47,61,605739,112997,21551,14750,5676,20939,19731,11210
44,56,697828,142102,7940,17376,23491,11473,11228,7694
54,57,665443,59296,9394,25217,22502,19243,22983,12720
43,48,142714,72270,6311,838,5494,2905,3904,1687
35,37,2002775,180628,39287,14987,35527,18109,18037,9227
41,44,510978,149639,51329,13750,36451,26647,58829,27725
29,41,675596,316770,29283,76227,32076,25004,82478,37471
27,53,400395,247068,53819,30581,13230,12079,9036,15079
16,53,392738,395861,81078,18676,20408,11020,17171,28757
7,56,1542296,181545,68030,21726,14954,12451,15641,14093
11,47,2149905,1152235,28995,98441,79612,125058,198395,45656
16,41,464451,769462,150576,15008,90895,60132,84881,15614
24,43,87160,36253,7252,5904,6536,2270,2690,1695
38,44,107737,12301,6035,5438,8012,4407,4200,1931
43,57,75244,33843,4365,11339,6457,8090,8092,3225
43,74,483487,29648,25219,11191,10176,4301,6745,3674
47,61,2429249,1018839,46733,40472,58990,74251,50427,14502
47,50,544259,83379,7990,9212,14986,19351,12247,16187
50,47,3159218,194772,18566,59794,49566,62102,33587,59505
50,37,110891,119413,32871,9780,6050,9318,7200,6642
54,53,708786,82912,25815,19344,14653,13449,11368,14002
53,63,74176,20365,6066,5414,4639,5706,2919,3873
50,69,1612594,25470,8972,9724,9718,6611,8191,12209
51,70,666904,207489,52385,53389,20093,22609,30019,7491
41,63,1048474,174384,1510,34521,10993,7614,13213,6943
26,60,48479,50998,9707,4520,2810,2312,7907,1664
14,56,890825,202766,23135,45232,12989,12727,24507,17316
20,67,2046731,52692,97780,16527,18536,21443,8824,9094
48,69,4050,4351,2368,369,2362,4686,2812,1774
75,75,3309,4478,2777,2687,2205,5802,4121,1655
96,84,785,2839,1865,6968,2711,4769,2576,1389
100,75,5449,1480,3075,1650,2009,6367,3408,3005
100,70,99832,23935,3999,1918,2193,8116,1945,909
93,63,1098547,90649,11517,12935,10645,18242,14717,13874
80,63,1579775,197943,174596,74869,59364,44342,57883,39462
67,60,101077,11091,1413,5299,3112,5278,5150,7565
51,70,1323554,180435,54713,40391,4235,13478,18246,9751
41,93,1334274,75321,156311,23624,12138,14953,7852,7985
40,78,280775,165853,23769,16190,2864,15071,10665,24240
17,78,1444513,1608491,473649,81935,55089,69776,55481,66965
11,70,23168,49224,11759,2025,3087,1705,3518,1254
13,61,418416,37340,24301,6328,7232,5045,9397,3619
10,56,126214,44130,5273,1197,3621,2738,1732,728
11,63,266005,214820,124365,56098,39088,14816,9153,13027
24,63,700325,39309,4997,7214,4572,4819,5104,1781
26,53,332181,82724,14944,7008,9158,8493,6968,3554
26,64,529039,151811,58928,5596,14802,12279,11249,37072
30,64,1235775,133498,75976,26095,5359,14457,6484,8032
27,61,826070,270221,34790,31117,46488,22113,31982,17133
24,63,81347,45525,6494,6014,4603,3995,5794,4168
29,66,2027896,538695,230894,111920,21901,81419,48953,50669
26,64,158732,33538,15747,9473,4697,2797,3962,2777
26,70,204191,72982,24073,5895,1265,5935,7544,2251
26,77,403046,44346,4546,17986,9279,5054,6903,2304
24,90,1727981,63408,258509,47776,68437,29476,31810,18829
30,74,429265,219205,20902,15427,21209,24205,32661,9341
40,75,180111,33612,13531,5926,2669,6690,4287,3906
50,57,1087821,368685,21808,12590,30175,73756,79070,23887
53,40,3753459,172478,11958,47915,28996,25006,23690,10930
69,56,9798,1834,4134,5326,7048,5651,2437,3555
67,61,2714478,312977,200975,68257,43942,66500,53952,124045
50,69,1877925,1440736,107626,158099,70122,46895,79773,100992
41,77,108806,30398,11014,6718,2907,2218,4322,4839
24,69,487074,22669,2661,6379,1486,2854,525,1433
21,57,1200084,120771,10064,23804,11836,13724,26688,10363
40,67,934824,59722,13985,27260,11229,16602,25273,11848
40,60,1469925,91645,14842,8814,15986,5774,9921,7735
44,53,130817,30498,5962,793,6912,5462,1547,2193
47,60,679402,323724,172154,65534,83468,64399,67065,35993
35,60,1113734,496670,111925,194307,67740,37803,25699,58312
38,69,1110968,154781,76857,43540,30648,21946,8426,12236
35,78,116960,55248,12870,15232,4958,7510,3486,2072
34,81,118287,26951,14200,10432,5861,5447,4562,2487
27,69,1030504,1320452,187222,33586,27922,39005,105985,65268
24,63,195165,299718,73807,23432,15546,21159,23178,17114
29,56,214037,31906,4219,4819,4435,6630,7960,4894
26,40,658593,155360,10371,13440,17833,11564,8517,18385
47,43,650617,117644,23138,19075,29355,36155,17513,9053
54,51,13337,38271,17666,11255,3755,8928,5822,5599
54,66,8086,7763,9760,2106,1609,3268,3799,5358
56,75,552237,81922,12084,34165,53833,10866,15665,3889
53,80,26216,36192,8394,10861,5994,9005,1210,7739
67,77,5890,6439,3248,2903,673,7346,3908,2419
74,66,16296,9865,2479,4068,5140,4749,4227,2790
77,75,255104,15798,11087,4473,2988,3486,3995,2154
60,78,953953,167101,49912,47690,4299,7770,19377,6858
41,75,143260,28154,1904,6336,1096,3102,4183,3124
27,77,1076434,275777,72286,66866,56173,28422,51071,37960
20,57,1661673,88226,8211,3188,6256,5026,12355,6490
17,44,86420,61143,3365,6186,1682,1765,875,2883
16,47,1280445,100881,19781,16837,2169,12296,23033,24375
21,48,366993,204588,24570,15002,23892,18876,7098,8007
34,66,157350,50471,45668,12887,6198,8697,4362,6196
30,61,109729,220084,46851,10505,19280,13848,8586,6425
29,66,1065393,98810,37842,33693,17480,11535,20075,13336
29,75,762794,197531,70054,11363,3934,24446,13362,16756
34,64,134970,9068,2101,1320,1432,1600,1355,854
37,74,119552,30617,16300,4582,4374,3470,3625,3084
50,70,2209,4099,3336,1150,1787,2434,4704,3340
50,56,178805,40508,3300,389,3310,3545,5111,1259
44,61,855195,159054,27285,75311,47564,18904,25375,9054
53,61,1627166,82580,47560,12490,9471,20770,18918,9556
43,61,662706,214011,82641,71899,35566,36194,21511,8633
48,70,302355,309596,42863,35045,22083,51380,16653,7870
47,66,1107678,237790,52007,25995,30841,21927,4969,6962
43,63,1299133,265682,63878,60365,53419,34851,53856,25395
30,60,1970774,316292,88653,48091,58183,12860,45856,16642
23,66,156879,175814,62925,12464,20627,16006,15184,7706
16,69,2370013,515926,107511,117225,46658,25250,113261,36744
17,69,265400,79225,18022,22448,13538,13031,10438,11546
38,74,220818,4806,2822,1638,1141,2180,1678,1046
34,61,217999,275848,22233,18015,4957,12445,6308,5075
44,74,1735826,40626,40230,24206,8593,11389,15474,12256
44,61,136416,43264,5355,2259,9514,4691,4827,2135
21,51,164252,96436,11188,8602,4242,2715,6914,3183
38,67,2550644,113923,96276,67523,49365,59978,31986,41792
29,47,108728,93849,1728,10888,6139,4649,5463,8540
50,77,251571,5108,3506,6395,1357,3945,2473,4030
51,66,1279821,368777,37120,81823,29975,115083,50963,36375
51,74,263304,79087,14341,6974,3363,5315,5157,2423
51,70,1395267,23239,2616,14494,7744,2267,4551,2964
30,51,114557,115593,9760,5713,979,4597,3237,2936
21,51,1833953,365335,11505,81897,19488,38650,37213,11628
24,60,1107207,90749,55277,17464,15233,11835,7326,6186
34,53,84493,36575,6173,4094,2959,6710,2712,3679
54,69,13446,6657,5509,10248,8735,6584,7265,3760
47,64,769837,1128501,77966,90090,98131,49985,33765,19066
43,60,2165784,264917,81895,28510,40210,16490,9301,9066
34,64,608581,68641,19298,9217,2186,5353,4321,4129
23,61,798437,62275,30391,16351,7171,12097,9599,7858
34,70,1294276,122454,31047,24956,14581,18850,18113,6978
29,66,696954,278036,36345,35618,10412,10466,9528,9769
37,64,833236,163665,40704,17041,9398,25493,8691,9385
34,61,480901,160944,73471,4127,10541,17233,6936,9957
23,63,282075,42817,13780,5085,4657,2753,2163,2194
30,66,47316,22000,7316,2135,3431,2543,1272,1629
24,63,172716,43718,6415,4774,3208,3518,2766,2574
29,64,938225,71347,27781,21331,6572,14130,18882,17977
40,44,363037,197663,14779,4276,5088,5779,1851,8040
48,44,42987,9438,1101,1878,2089,1859,1288,488
41,35,1008756,69830,11145,5474,26895,5096,11566,2080
37,38,30066,35328,9032,6267,4425,10073,2922,9249
50,50,390240,23004,4865,2563,2017,3290,3821,2364
43,54,66039,10450,2955,1192,694,1155,609,828
48,53,253768,355752,51328,13066,36044,34799,20190,16078
40,54,275989,204007,47679,49528,28039,25220,8669,19585
27,56,386130,118246,26944,21552,6910,5994,17760,6440
23,70,252041,39108,68197,17414,9990,6629,7969,6513
17,67,2115066,404492,32762,22608,61308,25275,21655,36151
17,74,1177041,39291,22337,5814,6460,6040,2782,3586
35,70,420607,70716,7078,19890,4051,18354,13368,5643
38,47,101804,72512,4065,7074,4249,5243,3606,5031
50,57,988757,65067,2520,32102,7907,20063,9388,6286
51,53,943403,103220,11442,22814,4959,14283,11623,6286
56,63,2088963,122194,130455,94675,39727,105902,95546,96855
53,63,2294132,865505,61416,82450,78256,45147,69121,28550
43,54,1434456,423437,37207,74036,126173,42336,55821,39148
37,57,1794761,267842,117277,13011,55700,19941,60128,29770
17,51,350459,75236,28648,5056,5729,5102,4729,2368
13,44,655001,607549,29360,18852,12925,18299,8608,9303
16,56,381518,291585,124624,55278,19772,48336,112904,28362
8,50,883895,402929,62397,21568,5038,10485,14856,7957
23,51,2011388,49657,54879,8717,52736,21060,12246,15361
35,64,1705948,153546,39489,8171,6923,18673,16958,3888
29,57,492527,165605,6620,39020,14783,10784,12119,15573
43,48,216391,82732,4625,2373,4473,7170,5148,3596
35,41,2157824,584967,21626,146685,8937,59362,28372,12079
29,50,140474,28228,14166,9192,1762,2859,5124,3428
21,63,1127447,762948,632114,59076,20907,33943,49151,56997
20,91,173770,21486,22605,5694,4010,3352,2923,3737
30,93,1789472,61196,45225,28997,13489,28787,24646,16191
51,93,602526,34084,29637,11724,6595,13873,24620,4807
54,91,668285,403310,150865,43717,47243,69461,115687,34093
57,88,969024,359888,162522,254826,112812,70960,98638,45192
38,63,873738,1034964,17010,47608,73401,30174,34076,22163
34,50,198217,24015,2524,4318,4232,3499,1620,2077
34,50,198217,24015,2524,4318,4232,34,,
